s_id,voucher,pre_ach,post_ach
42,0,74,83
194,0,7.5,4
218,1,2.5,3.5
261,1,0,26.5
304,1,11,2
323,1,8.5,15
339,1,0,23.5
348,1,37,52
349,1,71,60
386,0,24,13
387,0,26,17
392,0,17,13
472,1,49,31.5
480,0,1.5,5.5
513,1,7.5,4.5
515,1,33,22.5
516,1,28.5,9.5
558,0,9.5,12.5
608,1,15,34.5
657,1,23,10.5
685,1,23,5
740,0,1.5,10.5
841,1,27,18.5
847,0,8,11.5
855,0,27.5,52
867,0,46.5,70.5
913,1,0,59.5
917,0,53,46
918,0,17,20
932,1,8.5,27.5
943,1,1.5,16.5
973,0,54,45
984,1,9.5,11
1049,1,57.5,61.5
1061,0,3.5,5.5
1069,0,1,0
1070,0,12.5,30
1098,0,9,.5
1103,0,0,5.5
1121,0,7.5,20
1124,1,12.5,16
1235,1,25.5,21.5
1277,1,18.5,26
1281,1,.5,.5
1297,1,65.5,44
1305,1,17,35
1315,0,4,13
1320,0,10,17.5
1367,1,60.5,39
1395,0,6.5,17
1406,0,26,41
1518,0,7.5,43
1535,0,.5,6
1555,0,23.5,41
1606,0,1.5,3
1656,0,2,.5
1662,1,25,43.5
1718,0,6.5,22
1719,0,17.5,19
1726,0,22,28
1731,1,21,17
1741,1,5,5.5
1743,1,41.5,45
1798,0,3,5.5
1844,0,1,26
1857,0,5,7
1859,1,0,29
1894,0,31.5,20
1896,1,3.5,6
1965,1,11,4.5
1978,1,24,28
1979,1,0,9.5
1989,0,10.5,7
2013,1,3.5,2.5
2049,0,7,1
2060,1,29,49.5
2081,0,0,24.5
2097,1,2.5,12
2117,1,5,46.5
2175,1,7.5,14.5
2178,1,31.5,11.5
2188,0,18,21
2218,0,14.5,9
2220,0,12,9
2322,0,.5,3.5
2403,1,22,60.5
2429,0,21,12.5
2430,0,10,17
2464,0,50.5,23
2490,1,7.5,3.5
2552,0,14,6.5
2606,1,60,55.5
2647,0,12,4.5
2695,0,1.5,3
2718,0,2.5,13
2761,1,3.5,2.5
2766,0,7.5,10
2773,0,59.5,4
2922,1,12,26
2950,0,14,16
2955,1,7,7
2978,0,14.5,16.5
2982,0,27.5,43.5
3033,0,6.5,16
3125,1,6.5,4
3148,1,46.5,50
3165,1,8,2
3252,0,11,26
3284,1,7.5,16
3297,1,16,22
3409,0,5,17
3448,1,39.5,33
3453,1,2.5,54.5
3472,0,5.5,16
3473,0,3.5,11
3572,0,32.5,12
3648,0,5.5,3.5
3688,0,1,2.5
3757,1,22.5,16.5
3851,1,22,43.5
3857,1,.5,32
3886,1,24.5,37.5
3905,1,19.5,24
3906,1,17.5,10.5
3977,1,44.5,58.5
3990,1,19,21.5
4002,1,21,25.5
4017,1,15.5,26
4018,1,3,8.5
4028,1,41.5,46
4187,1,24,22
4234,0,22.5,47
4290,1,12.5,36
4291,1,21,46.5
4330,1,4,16
4340,1,40.5,58
4366,0,.5,9.5
4454,1,3,3
4457,1,8.5,12
4465,0,7.5,3.5
4466,0,10.5,23
4551,1,3.5,27.5
4559,1,13.5,16
4688,1,3.5,8.5
4726,1,18,25.5
4777,0,7.5,4
4885,1,13.5,8
4939,1,0,16
4966,1,57.5,4
5029,1,36.5,72
5030,1,9,10.5
5071,0,11.5,4
5097,1,44.5,79.5
5121,0,7,5
5124,0,19.5,12
5143,0,39,53.5
5160,0,26.5,35
5325,0,7.5,18
5329,1,3.5,7.5
5334,1,14,29
5364,1,26.5,28
5365,1,92,55.5
5396,0,0,67.5
5448,0,75,68.5
5483,0,30.5,10.5
5512,1,44.5,86.5
5513,1,10,30.5
5542,0,35,33.5
5559,1,18.5,10
5562,0,23,31.5
5590,1,6.5,17.5
5591,1,22.5,28.5
5592,1,32,30.5
5607,0,5,7.5
5630,1,4,3
5647,1,17,27
5670,1,45.5,49
5789,1,42.5,48.5
5828,1,1.5,2
5869,1,57.5,52
5947,1,10.5,31.5
5953,0,15.5,47
5954,0,25,24.5
5975,0,29.5,24.5
6034,0,13.5,17.5
6035,0,2,4
6098,0,21,7
6103,1,43,52
6307,0,25,45
6359,1,14,14
6380,0,39.5,20
6383,1,4,22
6432,1,40,51.5
6504,1,5.5,14
6505,1,16,32.5
6530,1,0,3
6585,1,15.5,10.5
6713,1,37.5,33.5
6740,0,25,39.5
6865,0,9,20.5
7037,1,8.5,5
7123,0,2,29
7151,1,19.5,6
7295,0,6.5,11
7296,0,16,9
7577,0,42,18
7609,0,30.5,34
7655,0,6.5,13.5
7749,0,13.5,12
9029,1,35,50
9058,1,4,15
9094,0,20,3.5
9126,0,67.5,66.5
9145,1,28,44.5
9147,1,2,7.5
9218,1,61,66
9235,1,24,30
9249,0,13.5,46
9251,0,5,5
9253,0,0,8.5
9277,1,5.5,46
9357,0,1.5,5.5
9419,1,59,55.5
9479,0,87.5,84.5
9518,1,6.5,40.5
9563,1,14,30
9564,1,26,57
9565,1,39,61.5
9608,1,18,17
9634,0,61.5,22.5
9664,0,41,39.5
9677,1,1.5,.5
9790,0,.5,6
9791,0,6.5,18.5
9837,0,44.5,70.5
9841,1,8,8
9895,0,50,57.5
9958,1,23,15.5
9968,0,52,26
10134,0,5,6.5
10260,0,4,22.5
10275,1,0,23.5
10292,1,35,45
10308,1,54.5,51.5
10356,1,20,17
10424,0,0,13.5
10444,0,19,32.5
10450,0,10.5,8.5
10458,0,7.5,14.5
10519,1,0,33.5
10578,1,26.5,23
10579,1,59.5,37
10603,0,20,28
10639,1,0,44.5
10697,0,20.5,19.5
10702,0,23,31.5
10719,1,26,1
10899,1,9.5,21.5
10900,1,3,13
11128,0,36,11
11141,0,52.5,55.5
11142,0,26.5,39
11153,1,15,6.5
11160,0,36.5,57
11221,1,20,8
11222,1,4.5,13
11223,1,1.5,7
11227,1,44,29.5
11277,1,16,37.5
11293,0,3,17
11300,0,2,3
11313,0,11.5,17.5
11317,1,21,31.5
11393,1,18.5,25
11394,1,2,7
11397,1,64,51.5
11398,1,73.5,68
11402,1,21,36.5
11403,0,42.5,28.5
11461,1,23.5,35.5
11640,0,28,22.5
11697,0,0,10.5
11719,1,14,18
11723,1,1.5,3.5
11800,1,20.5,16
11855,0,42,40
11925,1,15,60.5
11960,1,68,84.5
12054,0,5.5,6.5
12055,0,3.5,2
12130,1,84.5,86.5
12148,1,12.5,3
12169,0,5,2
12170,0,4.5,8
12236,1,19.5,7
12269,0,19.5,14.5
12271,0,23,2
12302,0,14.5,17.5
12316,0,3,12
12365,0,4,2
12366,1,10,16
12367,1,31,15
12405,0,3.5,7.5
12429,1,2,5
12432,1,9.5,17.5
12471,0,9,8.5
12610,1,35,62
12656,0,33.5,11.5
12657,1,7,20.5
12669,1,17,5
12670,1,.5,6.5
12680,1,3,10.5
12710,0,6,6.5
12724,1,15.5,32.5
12749,1,24.5,21
12835,1,39.5,46
12979,0,15.5,23.5
12996,1,48.5,39
13009,1,7.5,4.5
13058,1,44,89
13132,0,8,10.5
13237,0,29,26
13353,0,28.5,39
13417,0,13,1.5
13487,1,11,22
13513,1,24,52
13528,1,.5,7
13571,1,17.5,21
13612,0,36,1.5
13614,1,39.5,35.5
13647,1,28,27.5
13651,0,3.5,1
13652,0,31,45
13674,1,65.5,44
13743,0,39,8
13930,1,29.5,13.5
14017,1,27,9
14135,0,71,63.5
14164,1,5,10
14172,0,4.5,6
14289,0,37,16
14305,0,23,11
14306,0,25.5,41
14333,1,3,22
14334,1,24,17
14348,0,24.5,49
14361,1,49,26.5
14439,0,39.5,13
14457,0,7.5,16
14556,1,0,6
14575,0,30,37
14621,1,9,6
14622,1,6.5,19.5
14735,1,36.5,33.5
14740,0,63,47
14769,0,26,37.5
14770,1,10,7
14774,1,15.5,20
14878,0,56.5,39.5
14899,0,12.5,6.5
14955,0,5,10.5
14957,1,9.5,2.5
14978,0,53,39
15043,0,7.5,4.5
15123,1,48,24.5
15173,0,15.5,5.5
15228,1,13.5,17.5
15329,0,12,19.5
15363,0,.5,15
15366,0,46.5,50
15442,0,57,48.5
15464,1,49.5,58
15488,0,31,9
15497,1,5.5,20.5
15516,1,29,17.5
15517,1,16.5,6.5
15520,1,8,15
15546,1,16.5,27
15573,1,21,21.5
15675,1,15.5,50.5
15679,0,5,13.5
15680,0,38.5,39
15681,0,28.5,2.5
15697,1,16,15.5
15788,1,1,17.5
15790,1,10.5,7
15793,1,7.5,27
15818,1,10.5,22.5
15819,1,36.5,57
15871,0,3.5,10.5
15928,0,37.5,24.5
15978,1,17,11.5
16195,1,84,52.5
16268,0,20,1.5
16294,0,1,22.5
16346,1,24.5,30
16367,0,7.5,25
16565,1,50.5,64
16636,1,12,20.5
16645,1,7.5,5
16646,1,27,31.5
16664,0,60.5,77
16671,0,14.5,35
16702,0,45,26
16731,0,39.5,56.5
16750,1,12,5
16863,0,41.5,30
16932,1,28.5,30
16933,0,55,45
16937,0,20.5,4
16950,1,23.5,30.5
16951,1,3.5,2
16961,0,44.5,30
17012,0,3,2.5
17025,1,8.5,11
17026,1,23,4.5
17043,0,1.5,2.5
17073,1,4.5,13.5
17097,0,0,8
17134,0,3.5,8
17136,1,1.5,8.5
17250,0,18.5,10.5
17349,1,14,55.5
17593,0,10,0
17640,1,42,22
17744,1,7.5,24
17768,0,13,7
17769,1,33,39.5
17779,1,10.5,9.5
17800,0,39.5,35.5
17801,1,15.5,37.5
17829,1,11,52
18109,1,73.5,82
18146,1,19,15.5
18163,0,10,11
18234,1,.5,15.5
18235,1,.5,3
18246,0,29,25.5
18248,1,0,8.5
18249,1,20,28.5
18254,1,4,46
18321,0,30.5,30.5
18346,0,2,20
18393,0,27.5,58
18399,0,7.5,16
18611,1,.5,6
18636,1,22,39
18664,1,30.5,27.5
18699,0,7.5,15.5
18741,0,10.5,17
18751,1,18.5,20
18752,1,7.5,8
18847,0,32.5,45
18864,1,7,6
18886,0,20,15.5
18937,1,15.5,11
18939,0,18.5,39
18963,0,18.5,9
18964,0,5,10.5
19053,1,37,41.5
19073,1,15.5,35
19211,1,21,40
19214,0,9,9
19244,0,26.5,9
19247,1,18.5,14.5
19304,1,1,33.5
19333,1,27.5,47
19334,1,5.5,18.5
19371,1,33.5,15
19424,1,27,28
19482,1,7.5,4.5
19488,0,24,7.5
19635,0,26.5,9
19656,1,39,48.5
19772,1,15.5,1.5
19803,1,33,75.5
19887,0,26.5,15
19890,1,40,16
19891,1,7,5
19898,0,1.5,4
19925,1,39,7
19971,0,13.5,54.5
20019,0,9.5,18.5
20023,0,10,33.5
20151,1,2,22.5
20163,0,45,59.5
20215,0,24,5
20252,1,8.5,27.5
20264,1,82.5,78
20471,1,30,24.5
20474,1,40,19
20514,1,2,30.5
20614,1,9.5,9
20711,1,33.5,31
20728,1,1,18
20743,1,2.5,48
21027,0,35,43.5
21142,1,37.5,21.5
21147,1,8.5,15.5
21148,1,20,4.5
21149,1,8.5,5.5
21150,1,7,3.5
21169,0,4,8
21236,0,8,4.5
21247,0,4.5,1
21259,0,23.5,21
21323,1,22.5,38
21344,1,78,70.5
21372,1,46.5,24
21477,1,0,7.5
21561,1,5.5,31
21577,1,18.5,6.5
21594,1,14,6
21610,1,1,15
21652,0,8.5,4
21699,1,14,3
21796,1,10,24
21808,0,4.5,12.5
21814,1,1,54.5
21816,1,8,6
21825,1,22,6
